id;dm_vid;nom_pok;dom_graj;dom_famil;dom_ime;dom_darj;dom_nm;dom_adres;ved_darj;ved_nm
1;beyond;often primary;energetically truthfully;pfft pro retention;greedy very;among ack;14439;inure;hepatitis atop;along
2;failing windy;advertisement fill;mmm um;how quit;till;under;12472;saloon next;accidentally tough;oof
3;portray huzzah of;quaintly across;aha emergent whistle;boastfully;hoarse pfft till;uselessly save bony;26925;sharply;shabby;per
4;break outfit;other declaration railway;sermon amnesty tousle;uproot;boohoo;than analyse;5456;knotty teeming geez;finished platypus afore;scuffle um
5;rightfully;advocate yearly uh-huh;apprehensive obtrude sheepishly;till carelessly;spanish mismatch till;amid;7329;vice mechanically ugh;well actually;chromakey
6;whup especially absent;dapper spectate;thorn fluctuate quietly;overwork;towards humidity;uh-huh lend;32352;evenly;which against;spattering
7;croon incidentally;reproachfully scrutinise;amidst troubled;through readmit;despite;alongside giggle beard;29266;angle;warmhearted er;er fun when
8;buck demobilise before;forearm pace;afore;duh;eek;abscond;6649;what repeat electronics;armoire;impossible agitated
9;how;rightfully;defensive;although;bootleg;airbus hastily;2417;loftily;whose yuck as;exacerbate truthfully gloomy
10;brr outdo bah;allocation serene;shear unto;past;department;unimpressively;18856;finally well-documented;brr livid char;miscalculate tightly acidly
