id;mh_kscreated;mh_regnom;mh_vfsrefno;mh_usera;mh_datvav
1;hello deduct before;26167;resolve;vague;bungalow laughter brr
2;while eyeliner;2392;yum;aside than determined;per unimpressively even
3;while disgorge typify;26934;gladly meanwhile;where;extricate tightly
4;besides expert boohoo;21793;over thoroughly;when witty profane;to postbox
5;courteous;10748;yowza briefly whoever;procurement wearily ack;broken runway international
6;honorable;26310;afore loftily limply;amongst;gadzooks
7;mainstream against considerate;13411;dull than factorise;brr impact hm;fat spiteful
8;hence since;21610;hmph woot unto;if yuck;scorpion
9;uh-huh skeleton below;31780;bungalow fleck;correctly before um;atop
10;thongs culture spirited;4843;until square;eventually cassava;yum
