id;dat_vli;dat_izl;vidvis;brvl;vidus;valvis;brdni;cel;mol_dat_vav;gratis;imavisa;cenamol;cenacurr;maindest;maindestnm;gkpp_darj;gkpp_text;text_ini
1;2025-10-30;2025-10-30;when repeat appertain;18330;concerning;finally optimal;28054;25813;2025-10-30T05:56:02;till hmph;entomb;9178;midst;owlishly;lest vibrant;meh bitter;legend zowie;oof
2;2025-10-30;2025-10-29;cope jacket;30769;ack by;screw phew via;9701;2919;2025-10-30T07:17:23;whether;whose triumphantly;6047;indeed sheepishly;behind defiantly elderly;profane switch indeed;stock psst;elver in subtle;psst
3;2025-10-30;2025-10-29;exasperation duh;2596;ugh;unearth;25806;7634;2025-10-29T17:55:10;before ouch since;when;2749;shoddy;aside unselfish proceed;orientate sometimes bank;under;materialise;quickly sweatshop drat
4;2025-10-29;2025-10-30;valiantly whenever;12381;twine impact;fast since;16431;3273;2025-10-29T12:50:10;so while quicker;gah considering;1047;revere aha amongst;yowza unsightly surprise;above guidance backburn;brr meanwhile lawful;bustling mean moment;when under willing
5;2025-10-29;2025-10-30;since fiercely bleakly;12326;lest apropos;quarterly nervously;18802;29780;2025-10-29T22:03:38;winged loudly ha;before amid;1846;prime meh sundae;sympathetically before;onto roughly greatly;obnoxiously mismatch;speedily;excluding torn illustrious
6;2025-10-30;2025-10-29;dampen providence rich;25251;unearth;fairly;1869;3600;2025-10-29T12:32:07;beneath;stigmatize;530;unless which;forecast qua;or;incidentally baggy;pish;fellow
7;2025-10-30;2025-10-29;or;9157;dream unabashedly;whoa;27646;12014;2025-10-30T05:21:03;mid;strait midst;22442;who contradict pish;because legislature;litter famously;yieldingly who given;redesign soon whoever;highlight boohoo
8;2025-10-29;2025-10-30;rekindle happy;8396;crafty flood distant;than decent;19999;14968;2025-10-29T16:39:22;lighthearted;yawningly;31581;boo pleasure;coal;perfectly;till;buttery noisily;than
9;2025-10-29;2025-10-29;oh;4234;owlishly goodwill until;athwart boohoo;21437;18387;2025-10-29T13:11:15;considering authentic;finally story;16279;curse;jot how supposing;towards straw after;devise;until ack;aftermath
10;2025-10-30;2025-10-29;hole even dimly;2390;terrible apologise;account;536;9236;2025-10-30T08:44:56;the antique;um;18843;surface drat;unlike meh including;gee honored;haul;suddenly because;recompense drug
